columbia, mo, 2020-09-18 21:45:00, H: NaN, D: NaN, COCO: NaN
edmonds, wa, 2020-09-18 16:12:00, H: NaN, D: NaN, COCO: NaN
st.louis, mo, 2020-09-17 20:15:00, H: NaN, D: NaN, COCO: NaN
portangeles, wa, 2020-09-17 03:52:00, H: NaN, D: NaN, COCO: NaN
marietta, ga, 2020-09-17 00:05:00, H: NaN, D: NaN, COCO: NaN
santaclaus, in, 2020-09-16 05:44:00, H: NaN, D: NaN, COCO: NaN
merced, ca, 2020-09-16 00:00:00, H: NaN, D: NaN, COCO: 5.0
independence, mo, 2020-09-15 23:33:00, H: NaN, D: NaN, COCO: NaN
dyersburg, tn, 2020-09-15 23:00:00, H: NaN, D: NaN, COCO: NaN
coldwater, mi, 2020-09-15 22:39:00, H: NaN, D: NaN, COCO: NaN
kansascity, mo, 2020-09-15 12:58:00, H: NaN, D: NaN, COCO: NaN
virginiabeach, va, 2020-09-14 21:15:00, H: NaN, D: NaN, COCO: NaN
oaklandon, ks, 2020-09-14 15:36:00, H: NaN, D: NaN, COCO: NaN
aliquippa, pa, 2020-09-14 06:53:00, H: NaN, D: NaN, COCO: NaN
aliquippa, pa, 2020-09-14 06:53:00, H: NaN, D: NaN, COCO: NaN
wayne, nj, 2020-09-13 19:45:00, H: NaN, D: NaN, COCO: NaN
boise, id, 2020-09-13 17:52:00, H: NaN, D: NaN, COCO: NaN
st.peter, mn, 2020-09-13 14:54:00, H: NaN, D: NaN, COCO: NaN
kansascity, mo, 2020-09-13 11:13:00, H: NaN, D: NaN, COCO: NaN
grandjunction, co, 2020-09-12 04:08:00, H: NaN, D: NaN, COCO: NaN
santabarbara, ca, 2020-09-11 14:31:00, H: NaN, D: NaN, COCO: NaN
spokane, wa, 2020-09-11 13:53:00, H: NaN, D: NaN, COCO: NaN
garrettsville, oh, 2020-09-10 06:19:00, H: NaN, D: NaN, COCO: NaN
councilbluffs, ia, 2020-09-08 16:36:00, H: NaN, D: NaN, COCO: NaN
spokane, wa, 2020-09-08 03:39:00, H: NaN, D: NaN, COCO: NaN
marblehead, ma, 2020-09-06 19:40:00, H: NaN, D: NaN, COCO: NaN
